location,beds,price,area
3 Bedroom Independent House in J.P Nagar,"3 BHK
3 Baths",Price on Request,"1,800 sq.ft.
(167 sq.m.) Built-up Area"
3 Bedroom Independent House in Dattagalli,3 BHK,"₹ 81 - 91 Lac
₹ 4,525/sq.ft.","1,800-2,000 sq.ft.
(167-186 sq.m.) Built-up Area"
3 BHK Residential Apartment in Ittige Gudu,"3 BHK
3 Baths",₹ 1.17 Cr,"1,260 sq.ft.
(117 sq.m.) Carpet Area"
2 BHK Residential Apartment in Ittige Gudu,"2 BHK
2 Baths",₹ 78 Lac,"840 sq.ft.
(78 sq.m.) Carpet Area"
4 BHK Residential Apartment in Bogadi,4 BHK,"₹ 62 Lac
₹ 4,025/sq.ft.","1,540 sq.ft.
(143 sq.m.) Super built-up Area"
3 BHK Residential Apartment in Bogadi,3 BHK,"₹ 52 - 72 Lac
₹ 4,186/sq.ft.","1,212-1,803 sq.ft.
(113-168 sq.m.) Super built-up Area"
2 BHK Residential Apartment in 4th Stage Vijayanagar,,Price on Request,"932-1,279 sq.ft.
(87-119 sq.m.) Carpet Area"
3 BHK Residential Apartment in 4th Stage Vijayanagar,,Price on Request,"1,413-1,445 sq.ft.
(131-134 sq.m.) Carpet Area"
2 BHK Residential Apartment in Bogadi,"2 BHK
1 Bath","₹ 39 - 49 Lac
₹ 4,394/sq.ft.","830-1,174 sq.ft.
(77-109 sq.m.) Super built-up Area"
3 BHK Residential Apartment in Hebbal,"3 BHK
3 Baths","₹ 85 Lac
₹ 5,523/sq.ft.","1,539 sq.ft.
(143 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Hebbal,"2 BHK
2 Baths","₹ 52 Lac
₹ 5,543/sq.ft.","938 sq.ft.
(87 sq.m.) Super built-up Area"
3 BHK Residential Apartment in Yaraganahalli,3 BHK,"₹ 92.5 Lac
₹ 5,678/sq.ft.","1,629 sq.ft.
(151 sq.m.) Super built-up Area"
2 BHK Residential Apartment in Yaraganahalli,"2 BHK
2 Baths","₹ 70 Lac
₹ 5,595/sq.ft.","1,251 sq.ft.
(116 sq.m.) Super built-up Area"
4 BHK Residential Apartment in KRS Road,"4 BHK
5 Baths",₹ 1.49 Cr,"3,040 sq.ft.
(282 sq.m.) Super built-up Area"
3 BHK Residential Apartment in KRS Road,"3 BHK
3 Baths",₹ 1.02 Cr,"1,860 sq.ft.
(173 sq.m.) Super built-up Area"
2 BHK Residential Apartment in KRS Road,"2 BHK
2 Baths",₹ 76 Lac,"1,400 sq.ft.
(130 sq.m.) Super built-up Area"
2 Bedroom Independent House in Kuppedada,"2 BHK
2 Baths","₹ 44 - 63 Lac
₹ 5,759/sq.ft.","750-1,100 sq.ft.
(70-102 sq.m.) Built-up Area"
2 BHK Residential Apartment in Dattagalli,,₹ 50.95 - 54.9 Lac,"1,018-1,098 sq.ft.
(95-102 sq.m.) Carpet Area"
3 BHK Residential Apartment in Dattagalli,,₹ 64.25 - 66.7 Lac,"1,285-1,334 sq.ft.
(119-124 sq.m.) Carpet Area"
4 Bedroom Independent House in Vidyashankara Layout,"4 BHK
3 Baths","₹ 1.06 Cr
₹ 4,818/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area"
