Location,Beds,Price,Area,PricePerSqft
1st Stage Vijayanagar,2,120.0,1500.0,0.08
1st Stage Vijayanagar,5,68.0,1900.0,0.035789473684210524
1st Stage Vijayanagar,5,250.0,2400.0,0.10416666666666667
1st Stage Vijayanagar,4,45.0,1200.0,0.0375
1st Stage Vijayanagar,4,25.0,600.0,0.041666666666666664
2nd Stage Vijaynagar,7,129.0,1200.0,0.1075
2nd Stage Vijaynagar,7,35.0,1200.0,0.029166666666666667
2nd Stage Vijaynagar,3,72.0,750.0,0.096
2nd Stage Vijaynagar,2,136.0,1250.0,0.1088
2nd Stage Vijaynagar,2,46.0,1200.0,0.03833333333333333
2nd Stage Vijaynagar,2,150.0,2176.0,0.06893382352941177
2nd Stage Vijaynagar,3,115.0,1200.0,0.09583333333333334
2nd Stage Vijaynagar,2,45.0,2130.0,0.02112676056338028
2nd Stage Vijaynagar,1,165.0,3229.0,0.05109941158253329
3rd Stage Vijayanagar,2,55.0,1400.0,0.039285714285714285
3rd Stage Vijayanagar,4,128.0,2700.0,0.047407407407407405
3rd Stage Vijayanagar,4,90.0,1355.0,0.06642066420664207
3rd Stage Vijayanagar,3,100.0,1100.0,0.09090909090909091
3rd Stage Vijayanagar,2,52.0,1280.0,0.040625
4th Stage Vijayanagar,2,140.0,2400.0,0.058333333333333334
4th Stage Vijayanagar,4,65.0,1056.0,0.061553030303030304
4th Stage Vijayanagar,5,225.0,600.0,0.375
4th Stage Vijayanagar,5,120.0,1093.0,0.10978956999085086
4th Stage Vijayanagar,3,200.0,2400.0,0.08333333333333333
4th Stage Vijayanagar,12,195.0,32670.0,0.005968778696051423
4th Stage Vijayanagar,2,90.0,1350.0,0.06666666666666667
4th Stage Vijayanagar,2,120.0,1550.0,0.07741935483870968
4th Stage Vijayanagar,2,50.0,1200.0,0.041666666666666664
4th Stage Vijayanagar,5,85.0,1107.0,0.07678410117434507
4th Stage Vijayanagar,2,75.0,750.0,0.1
4th Stage Vijayanagar,2,84.5,1250.0,0.0676
4th Stage Vijayanagar,3,70.0,1463.0,0.04784688995215311
4th Stage Vijayanagar,3,49.0,600.0,0.08166666666666667
4th Stage Vijayanagar,2,75.0,2700.0,0.027777777777777776
4th Stage Vijayanagar,2,54.0,1456.0,0.03708791208791209
4th Stage Vijayanagar,3,150.0,1180.0,0.1271186440677966
