location,beds1,beds2,price,area
"THE EAGLES, Jayanagar, Kuvempunagar, Mysore",2 BHK Apartment,1010 sq.ft built up area ,[6400000],"{'value': 1010, 'unit': 'sq.ft'}"
"THE EAGLES, Jayanagar, Kuvempunagar, Mysore",3 BHK Apartment,1505 sq.ft built up area ,[9200000],"{'value': 1505, 'unit': 'sq.ft'}"
"THE EAGLES, Yadavagiri, Mysore",3 BHK Apartment,1650 sq.ft built up area ,[11000000],"{'value': 1650, 'unit': 'sq.ft'}"
"THE EAGLES, Somanatha Nagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[10500000],"{'value': 2000, 'unit': 'sq.ft'}"
"THE EAGLES, Sardar Vallabh Bhai Patel Nagara, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8800000],"{'value': 1200, 'unit': 'sq.ft'}"
"Santosh dhurvatar, Bank Employees' Colony, Bogadi, Mysore",2 BHK Apartment,1100 sq.ft built up area ,[5490000],"{'value': 1100, 'unit': 'sq.ft'}"
"Santosh dhurvatar, Bank Employees' Colony, Bogadi, Mysore",3 BHK Villa,2130 sq.ft built up area ,[11500000],"{'value': 2130, 'unit': 'sq.ft'}"
"Bonitas Harmony, Vijay Nagar 2nd Stage, Vijayanagar, Mysore",3 BHK Apartment,1430 sq.ft built up area ,[6000000],"{'value': 1430, 'unit': 'sq.ft'}"
"Nanjangud, Mysore",Century Royale,4 BHK Apartment,[77775000],"{'value': 5000, 'unit': 'sq.ft'}"
"Basavanahalli, Mysore",Sankalp Temple Trees,"2, 3 BHK Apartments","[4450000, 6150000]","{'value': 643, 'unit': 'sq.ft'}"
"Yaraganahalli, Mysore",Brigade Topaz,"2, 3 BHK Apartments","[5700000, 7455955]","{'value': 796, 'unit': 'sq.ft'}"
"Jayalakshmipuram, Mysore",Benchmark Urbana,"2, 3 BHK Apartments",[],"{'value': 1318, 'unit': 'sq.ft'}"
