Location,Beds,Price,Area,PricePerSqft
Vijayanagar,2,120.0,1500.0,0.08
Vijayanagar,5,68.0,1900.0,0.0357894736842105
Vijayanagar,5,250.0,2400.0,0.1041666666666666
Vijayanagar,4,45.0,1200.0,0.0375
Vijayanagar,4,25.0,600.0,0.0416666666666666
Vijayanagar,7,129.0,1200.0,0.1075
Vijayanagar,7,35.0,1200.0,0.0291666666666666
Vijayanagar,3,72.0,750.0,0.096
Vijayanagar,2,136.0,1250.0,0.1088
Vijayanagar,2,46.0,1200.0,0.0383333333333333
Vijayanagar,2,150.0,2176.0,0.0689338235294117
Vijayanagar,3,115.0,1200.0,0.0958333333333333
Vijayanagar,2,45.0,2130.0,0.0211267605633802
Vijayanagar,1,165.0,3229.0,0.0510994115825332
Vijayanagar,2,55.0,1400.0,0.0392857142857142
Vijayanagar,4,128.0,2700.0,0.0474074074074074
Vijayanagar,4,90.0,1355.0,0.066420664206642
Vijayanagar,3,100.0,1100.0,0.0909090909090909
Vijayanagar,2,52.0,1280.0,0.040625
Vijayanagar,2,140.0,2400.0,0.0583333333333333
Vijayanagar,4,65.0,1056.0,0.0615530303030303
Vijayanagar,5,225.0,600.0,0.375
Vijayanagar,5,120.0,1093.0,0.1097895699908508
Vijayanagar,3,200.0,2400.0,0.0833333333333333
Vijayanagar,12,195.0,32670.0,0.0059687786960514
Vijayanagar,2,90.0,1350.0,0.0666666666666666
Vijayanagar,2,120.0,1550.0,0.0774193548387096
Vijayanagar,2,50.0,1200.0,0.0416666666666666
Vijayanagar,5,85.0,1107.0,0.076784101174345
Vijayanagar,2,75.0,750.0,0.1
Vijayanagar,2,84.5,1250.0,0.0676
Vijayanagar,3,70.0,1463.0,0.0478468899521531
Vijayanagar,3,49.0,600.0,0.0816666666666666
Vijayanagar,2,75.0,2700.0,0.0277777777777777
Vijayanagar,2,54.0,1456.0,0.037087912087912
Vijayanagar,3,150.0,1180.0,0.1271186440677966
Vijayanagar,4,55.0,1505.0,0.0365448504983388
Vijayanagar,3,35.0,1260.0,0.0277777777777777
Vijayanagar,4,100.0,2400.0,0.0416666666666666
Vijayanagar,2,35.0,815.0,0.0429447852760736
Vijayanagar,2,68.0,174240.0,0.0003902662993572
Vijayanagar,2,360.0,700.0,0.5142857142857142
Vijayanagar,3,59.0,1200.0,0.0491666666666666
Vijayanagar,3,38.0,1150.0,0.0330434782608695
Vijayanagar,3,123.0,1200.0,0.1025
Vijayanagar,3,26.0,174240.0,0.0001492194674012
Vijayanagar,4,65.0,840.0,0.0773809523809523
