Location,Beds,Price,Area,Type
 Kuvempunagar,2,6400000,1010,House
 Kuvempunagar,3,9200000,1505,House
 Yadavagiri,3,11000000,1650,House
 Somanatha Nagar,3,10500000,2000,House
 Sardar Vallabh Bhai Patel Nagara,2,8800000,1200,House
 Bogadi,2,5490000,1100,House
 Bogadi,3,11500000,2130,House
 Vijayanagar,3,6000000,1430,House
Nanjangud,4,77775000,5000,Apartment
Basavanahalli,3,6150000,643,Apartment
Yaraganahalli,3,7455955,796,Apartment
Jayalakshmipuram,3,7150000,1318,Apartment
Siddhartha Layout,4,11440000,1374,Apartment
Vinayakanagara,3,-999999,1291,Apartment
Sharadadevi Nagar,3,6400000,886,Apartment
BEML Nagar,3,6486000,972,Apartment
Ramachandra Agrahara,4,17902652,1620,Apartment
 Gaddige Road,3,15800000,2880,Apartment
Ilavala Hobli,3,4403440,1070,Apartment
Ilavala Hobli,3,5600000,1797,Villa
Deepanagar,3,7252623,1204,Apartment
Somanatha Nagar,3,15000000,1018,Apartment
Rahmania Mohalla,4,7200000,1586,Apartment
 Bogadi Road,3,-999999,925,Apartment
Chamundipuram,2,5000000,1000,Apartment
Yadavagiri,3,9675000,1509,Apartment
Vijayanagar,3,6900000,932,Apartment
 Bogadi Road,3,-999999,1585,Apartment
Ilavala Hobli,3,5600000,1004,Apartment
 Gaddige Road,3,15800000,691,Apartment
Jayalakshmipuram,2,6000000,1176,House
Gangothri Layout,5,40000000,5700,House
Hebbadi,4,10500035,1750,Villa
JSS Layout,4,12000000,1200,House
Bogadi,3,5862240,915,Apartment
Metagalli,3,6235000,845,Apartment
 Vontikoppal,2,6000000,1200,House
Sardar Vallabh Bhai Patel Nagara,2,7000000,1200,House
Ramakrishnanagar,5,18000000,1200,House
Elivala,4,14000000,1850,House
 Saraswathipuram,2,6200000,1000,House
Somanatha Nagar,3,11000000,2300,House
 Hebbal,2,5000000,1225,House
 Ilavala Hobli,2,5200000,1125,House
Gokulam,3,11550000,1220,Apartment
Hanchya,2,4000000,870,House
 Ilavala Hobli,2,5200000,1125,House
 Bogadi,4,16500000,1100,House
Hinkal,4,5345000,1950,Villa
 H D Kote Road,3,5100000,800,Apartment
Rajendra Nagar,5,18000000,150,House
 Bogadi,4,16500000,1200,House
 Vijayanagar,2,7200000,1450,House
 Deepanagar,3,4400000,1221,House
Yadavagiri,2,4000000,1015,House
 Dattagalli Third Stage,3,9000000,1600,House
 Vani Vilas Mohalla,2,7500000,1165,House
 Vani Vilas Mohalla,2,7500000,1165,House
 Sriramapura,2,6000000,600,House
Hinkal,2,5345000,415,Apartment
Dattagalli,3,10000000,1399,Villa
 Gaddige Road,4,15800000,1200,Villa
Somanatha Nagar,4,15000000,865,Villa
Bannimantap,2,4943600,1170,Apartment
Avverahalli,3,11640050,582,Villa
Madagalli,3,7001280,1200,Villa
Yadavagiri,3,10814400,1288,Apartment
Hulikere,2,3629181,750,Apartment
Nanjangud,2,6000000,1200,House
 Somanatha Nagar,2,5000000,1349,House
 Vijayanagar,2,17500000,3200,House
 Gaddige Road,4,37401793,5230,Villa
JSS Layout,4,12000000,2800,House
 Vijayanagar,2,5800000,1056,House
Ramakrishnanagar,5,18500000,1200,House
 Bogadi,2,6250000,989,House
Huyilalu,3,18200000,4500,House
Mandakalli,3,13000000,2400,House
Metagalli,4,18434483,1400,Apartment
 Vidayaranya Puram,2,5600000,1280,House
 H D Kote Road,3,5355000,1095,Apartment
 Ittige Gudu,3,11700000,1800,House
Yaraganahalli,4,11000000,1200,House
 Hebbal 1st Stage,3,7200000,1282,House
 Vidayaranya Puram,2,4700000,920,House
Kesare,4,35000000,1728,House
Mandi Mohalla,1,7500000,300,House
 Siddhartha Layout,2,5200000,1100,House
 J P Nagar,2,5500000,1500,House
Hulikere,4,7705500,1225,Apartment
 Saraswathipuram,3,20000000,3055,House
 Saraswathipuram,3,20000000,3055,House
Hulikere,2,4500000,2060,House
 Saraswathipuram,3,20000000,3055,House
Dattagalli,4,18000000,3000,House
Ilavala Hobli,2,11500000,2400,House
 Bogadi,4,12000000,2000,House
 Ilavala Hobli,10,20000000,5600,House
Hebbal 2nd Stage,2,4700000,600,House
 Varuna,6,22500000,2400,House
Dattagalli,3,9500000,2200,House
Ramakrishnanagar,2,16000000,1800,House
 Kesare,8,7200000,3000,House
Kalyanagiri,3,6000000,1130,House
 Hebbal 1st Stage,2,4500000,832,House
 Ilavala Hobli,2,5000000,1300,House
Ramakrishnanagar,4,17500000,1200,House
Ramakrishnanagar,4,17500000,1200,House
 Yadavagiri,3,11800000,1950,House
Udayagiri,3,14000000,1850,House
Rajiv Nagar,2,5600000,1400,House
 J P Nagar,2,7000000,600,House
Ilavala Hobli,4,20000000,4000,House
 Mallahalli,3,10000000,2300,House
J P Nagar,2,7000000,600,House
 Deepanagar,4,33400000,5130,House
Nanjangud,2,5000000,900,House
 Vijayanagar,2,6500000,1160,House
Ilavala Hobli,2,6000000,1300,House
Sardar Vallabh Bhai Patel Nagara,2,6900000,600,House
Yadavagiri,2,6325000,1183,House
Udayagiri,3,30000000,2100,House
 Sriramapura,7,16000000,3400,House
 Hebbal,2,6300000,600,House
 Belavadi,2,7500000,1200,House
Ramakrishnanagar,2,13500000,1200,House
Jayalakshmipuram,2,7500000,1500,House
Udayagiri,3,12000000,1100,House
Somanatha Nagar,3,15000000,2900,House
Jayalakshmipuram,2,6800000,1076,House
 Ittige Gudu,3,11700000,2400,House
 Ilavala Hobli,5,20000000,3800,House
Fort Mohalla,2,20000000,3200,House
 Ramakrishnanagar,5,32000000,3500,House
 Metagalli,3,7000000,1600,House
Tilak Nagar,5,11000000,2050,House
 Vijayanagar,3,23000000,2925,House
Ilavala Hobli,2,4500000,1185,House
 Vijayanagar,2,6200000,1100,House
 Vijayanagar,2,7500000,1188,House
 Metagalli,1,5000000,790,House
 BEML Nagar,3,10500000,1500,House
Somanatha Nagar,3,15999300,2900,House
Shivarampet,2,10000000,2000,House
 Hebbal,2,5500000,1225,House
 Hebbal,2,3200000,750,House
-999999,3,18000000,2450,House
Kesare,2,4500000,600,House
Vijayanagar,3,5924000,942,Apartment
Vidayaranya Puram,2,4600000,855,House
 Ilavala Hobli,4,9600000,3000,House
 Chamundi Hill,2,5000000,1200,House
BEML Nagar,3,12000000,1568,House
Bannimantap,5,108000000,-999999,House
Rajiv Nagar,4,8500000,1500,House
 Yadavagiri,2,6000000,1210,House
Harohalli,2,2690000,800,House
KC Layout,4,28000000,5600,House
BEML Nagar,3,10000000,2000,House
Huyilalu,3,8900000,950,Villa
Chamrajpura,5,7500000,2000,House
Rajarajeshwari Nagar,2,8100000,1200,House
Belvadi,3,8500000,1500,House
Chamrajpura,5,7500000,1500,House
 Sriramapura,4,12000000,7500,House
Lakshmipuram,2,6000000,1300,Apartment
BEML Nagar,3,13500000,2400,House
Dattagalli,3,11000000,2300,House
 Hebbal,2,6500001,920,House
 Hebbal,2,6500000,920,House
Rajendra Nagar,3,4500000,600,House
 Vijayanagar,2,15500000,1800,House
 Lakshmipuram,2,7500000,1411,House
Hebbal 1st Stage,2,4650000,599,House
 Hebbal 1st Stage,2,4800000,600,House
 Vijayanagar,3,12500000,2150,House
 Hebbal 1st Stage,1,4800000,600,House
Varuna,2,8800000,1700,House
